family_Size,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,date of reservation,booking status
2,0,2,Meal Plan 1,0,Room_Type 1,4,Online,8/21/2017,Not_Canceled
2,1,3,Not Selected,0,Room_Type 1,7,Online,11/17/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 4,17,Online,9/14/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,97,Online,5/19/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,2,Online,5/19/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 4,6,Online,12/17/2017,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,77,Online,4/15/2018,Not_Canceled
3,2,0,Meal Plan 1,0,Room_Type 4,77,Online,6/19/2018,Not_Canceled
2,0,3,Not Selected,0,Room_Type 1,64,Online,4/21/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,72,Online,6/17/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 4,12,Online,2/27/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,50,Online,1/14/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,25,Online,6/14/2018,Not_Canceled
2,0,2,Not Selected,0,Room_Type 1,32,Online,12/16/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,104,Online,10/25/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,39,Online,11/13/2018,Not_Canceled
3,0,1,Meal Plan 1,0,Room_Type 4,0,Online,6/21/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,112,Online,7/18/2018,Not_Canceled
1,1,1,Not Selected,0,Room_Type 1,5,Online,12/19/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 4,2,Online,4/13/2018,Not_Canceled
2,0,4,Not Selected,0,Room_Type 1,51,Online,10/28/2017,Not_Canceled
2,2,3,Not Selected,0,Room_Type 1,89,Online,12/22/2018,Not_Canceled
2,0,4,Not Selected,0,Room_Type 1,30,Online,11/29/2018,Not_Canceled
1,0,4,Not Selected,0,Room_Type 1,170,Online,7/19/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,97,Online,5/19/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,61,Online,12/30/2017,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,58,Online,3/31/2018,Not_Canceled
1,2,5,Meal Plan 1,0,Room_Type 1,15,Online,12/20/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 1,7,Online,3/24/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,40,Online,9/19/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,34,Online,10/16/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 2,18,Online,10/31/2017,Not_Canceled
3,2,5,Meal Plan 1,0,Room_Type 4,88,Online,8/23/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,125,Online,6/17/2018,Not_Canceled
1,0,4,Meal Plan 2,0,Room_Type 1,100,Online,9/28/2018,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,1,Online,8/20/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,144,Online,9/23/2018,Not_Canceled
2,0,0,Not Selected,0,Room_Type 1,22,Online,7/27/2018,Not_Canceled
2,0,0,Meal Plan 1,0,Room_Type 1,0,Online,11/14/2017,Not_Canceled
2,2,5,Meal Plan 2,0,Room_Type 4,200,Online,12/24/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 2,108,Online,4/16/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,101,Online,3/18/2018,Not_Canceled
2,1,1,Not Selected,0,Room_Type 1,4,Online,1/16/2018,Not_Canceled
